paper_id,title,paper_url,year,authors,status,needs_review,S,F,F_mode,P,E,E_relational_adaptation,S_to_F_presence,S_to_F_validation,S_to_P_presence,S_to_P_validation,F_to_P_presence,F_to_P_validation,P_to_E_presence,P_to_E_validation,E_to_S_presence,E_to_S_validation,E_to_F_presence,E_to_F_validation,E_to_P_presence,E_to_P_validation
yang-etal-2025-consistent,Consistent Client Simulation for Motivational Interviewing-Based Counseling,https://aclanthology.org/2025.acl-long.1021/,2025,"Yang, Yizhe and Achananuparp, Palakorn and Huang, Heyan and Jiang, Jing and Lim, Nicholas Gabriel and Ern, Cameron Tan Shi and Kit, Phey Ling and Giam, Xiuhui Jenny and Pinto, John and Lim, Ee-Peng",majority,False,Present,Absent,NA,Present,Present,Yes,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Explicit,V0
kim-etal-2025-story,Can You Share Your Story? Modeling Clients' Metacognition and Openness for LLM Therapist Evaluation,https://aclanthology.org/2025.findings-acl.1332/,2025,"Kim, Minju and Yoo, Dongje and Hwang, Yeonjun and Kang, Minseok and Kim, Namyoung and Gwak, Minju and Kwak, Beong-woo and Chae, Hyungjoo and Kim, Harim and Lee, Yunjoong and Kim, Min Hee and Jung, Dayi and Chung, Kyong-Mee and Yeo, Jinyoung",needs_review,True,Present,Present,Static,Absent,Present,NA,Explicit,NA,Absent,NA,Absent,NA,Absent,NA,Explicit,NA,Absent,NA,Absent,NA
zhang-etal-2025-cbt,CBT-Bench: Evaluating Large Language Models on Assisting Cognitive Behavior Therapy,https://aclanthology.org/2025.naacl-long.196/,2025,"Zhang, Mian and Yang, Xianjun and Zhang, Xinlu and Labrum, Travis and Chiu, Jamie C. and Eack, Shaun M. and Fang, Fei and Wang, William Yang and Chen, Zhiyu",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
yang-etal-2025-cami,CAMI: A Counselor Agent Supporting Motivational Interviewing through State Inference and Topic Exploration,https://aclanthology.org/2025.acl-long.1024/,2025,"Yang, Yizhe and Achananuparp, Palakorn and Huang, Heyan and Jiang, Jing and Kit, Phey Ling and Lim, Nicholas Gabriel and Ern, Cameron Tan Shi and Lim, Ee-Peng",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Explicit,V0
qiu-etal-2024-smile,SMILE: Single-turn to Multi-turn Inclusive Language Expansion via ChatGPT for Mental Health Support,https://aclanthology.org/2024.findings-emnlp.34/,2024,"Qiu, Huachuan and He, Hongliang and Zhang, Shuai and Li, Anqi and Lan, Zhenzhong",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
qiu-etal-2024-psyguard,PsyGUARD: An Automated System for Suicide Detection and Risk Assessment in Psychological Counseling,https://aclanthology.org/2024.emnlp-main.264/,2024,"Qiu, Huachuan and Ma, Lizhi and Lan, Zhenzhong",needs_review,True,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,NA,Absent,NA,Absent,NA
xiao-etal-2024-healme,HealMe: Harnessing Cognitive Reframing in Large Language Models for Psychotherapy,https://aclanthology.org/2024.acl-long.93/,2024,"Xiao, Mengxi and Xie, Qianqian and Kuang, Ziyan and Liu, Zhicheng and Yang, Kailai and Peng, Min and Han, Weiguang and Huang, Jimin",majority,False,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
lee-etal-2024-cactus,Cactus: Towards Psychological Counseling Conversations Using Cognitive Behavioral Theory,https://aclanthology.org/2024.findings-emnlp.832/,2024,"Lee, Suyeon and Kim, Sunghwan and Kim, Minju and Kang, Dongjin and Yang, Dongil and Kim, Harim and Kang, Minseok and Jung, Dayi and Kim, Min Hee and Lee, Seungbeen and Chung, Kyong-Mee and Yu, Youngjae and Lee, Dongha and Yeo, Jinyoung",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
zhang-etal-2024-cpsycoun,CPsyCoun: A Report-Based Multi-turn Dialogue Reconstruction and Evaluation Framework for Chinese Psychological Counseling,https://aclanthology.org/2024.findings-acl.830/,2024,"Zhang, Chenhao and Li, Renhao and Tan, Minghuan and Yang, Min and Zhu, Jingwei and Yang, Di and Zhao, Jiahao and Ye, Guancheng and Li, Chengming and Hu, Xiping",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
li-etal-2023-understanding,Understanding Client Reactions in Online Mental Health Counseling,https://aclanthology.org/2023.acl-long.577/,2023,"Li, Anqi and Ma, Lizhi and Mei, Yaling and He, Hongliang and Zhang, Shuai and Qiu, Huachuan and Lan, Zhenzhong",unanimous,False,Present,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
zhao-etal-2023-transesc,TransESC: Smoothing Emotional Support Conversation via Turn-Level State Transition,https://aclanthology.org/2023.findings-acl.420/,2023,"Zhao, Weixiang and Zhao, Yanyan and Wang, Shilong and Qin, Bing",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
chen-etal-2023-soulchat,"SoulChat: Improving LLMs' Empathy, Listening, and Comfort Abilities through Fine-Tuning with Multi-turn Empathy Conversations",https://aclanthology.org/2023.findings-emnlp.83/,2023,"Chen, Yirong and Xing, Xiaofen and Lin, Jingkai and Zheng, Huimin and Wang, Zhenyu and Liu, Qi and Xu, Xiangmin",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
deng-etal-2023-knowledge,Knowledge-Enhanced Mixed-Initiative Dialogue System for Emotional Support Conversations,https://aclanthology.org/2023.acl-long.225/,2023,"Deng, Yang and Zhang, Wenxuan and Yuan, Yifei and Lam, Wai",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
sharma2023hailey,Human--AI Collaboration Enables More Empathic Conversations in Text-Based Peer-to-Peer Mental Health Support,https://www.nature.com/articles/s42256-022-00593-2,2023,"Sharma, Ashish and Lin, Inna W. and Miner, Adam S. and Atkins, David C. and Althoff, Tim",needs_review,True,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
zhou-etal-2023-facilitating,Facilitating Multi-turn Emotional Support Conversation with Positive Emotion Elicitation: A Reinforcement Learning Approach,https://aclanthology.org/2023.acl-long.96/,2023,"Zhou, Jinfeng and Chen, Zhuang and Wang, Bo and Huang, Minlie",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Absent,NA
cheng-etal-2022-improving,Improving Multi-turn Emotional Support Dialogue Generation with Lookahead Strategy Planning,https://aclanthology.org/2022.emnlp-main.195/,2022,"Cheng, Yi and Liu, Wenge and Li, Wenjie and Wang, Jiashuo and Zhao, Ruihui and Liu, Bang and Liang, Xiaodan and Zheng, Yefeng",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V1,Absent,NA,Explicit,V1,Absent,NA,Absent,NA,Absent,NA
wu2022annomi,Anno-MI: A Dataset of Expert-Annotated Counselling Dialogues,https://ieeexplore.ieee.org/document/9746035,2022,"Wu, Zixiu and Balloccu, Simone and Kumar, Vivek and Helaoui, Rim and Reiter, Ehud and Reforgiato Recupero, Diego and Riboni, Daniele",majority,False,Absent,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
liu-etal-2021-towards,Towards Emotional Support Dialog Systems,https://aclanthology.org/2021.acl-long.269/,2021,"Liu, Siyang and Zheng, Chujie and Demasi, Orianna and Sabour, Sahand and Li, Yu and Yu, Zhou and Jiang, Yong and Huang, Minlie",majority,False,Absent,Absent,NA,Present,Present,No,Absent,NA,Absent,NA,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
sun-etal-2021-psyqa,PsyQA: A Chinese Dataset for Generating Long Counseling Text for Mental Health Support,https://aclanthology.org/2021.findings-acl.130/,2021,"Sun, Hao and Lin, Zhenru and Zheng, Chujie and Liu, Siyang and Huang, Minlie",majority,False,Absent,Absent,NA,Present,Present,No,Absent,NA,Absent,NA,Absent,NA,Explicit,V1,Absent,NA,Absent,NA,Absent,NA
rashkin-etal-2019-towards,Towards Empathetic Open-domain Conversation Models: A New Benchmark and Dataset,https://aclanthology.org/P19-1534/,2019,"Rashkin, Hannah and Smith, Eric Michael and Li, Margaret and Boureau, Y-Lan",majority,False,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
fitzpatrick2017woebot,Delivering Cognitive Behavior Therapy to Young Adults With Symptoms of Depression and Anxiety Using a Fully Automated Conversational Agent (Woebot): A Randomized Controlled Trial,https://mental.jmir.org/2017/2/e19/,2017,"Fitzpatrick, Kathleen Kara and Darcy, Alison and Vierhile, Molly",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
gratch2014distress,The Distress Analysis Interview Corpus of Human and Computer Interviews,https://www.lrec-conf.org/proceedings/lrec2014/summaries/508.html,2014,"Gratch, Jonathan and Artstein, Ron and Lucas, Gale M. and Stratou, Giota and Scherer, Stefan and Nazarian, Angela and Wood, Rachel and Boberg, Jill and DeVault, David and Marsella, Stacy and Traum, David and Rizzo, Albert and Morency, Louis-Philippe",needs_review,True,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Inferential,NA,Absent,NA,Absent,NA
bickmore2005relationships,Establishing and Maintaining Long-Term Human--Computer Relationships,https://dl.acm.org/doi/10.1145/1067860.1067867,2005,"Bickmore, Timothy W. and Picard, Rosalind W.",majority,False,Present,Absent,NA,Absent,Present,Yes,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
weizenbaum1966eliza,ELIZA---A Computer Program for the Study of Natural Language Communication Between Man and Machine,https://dl.acm.org/doi/10.1145/365153.365168,1966,"Weizenbaum, Joseph",needs_review,True,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
